carrier,flightNumber,origin,destination,date,departure,arrival,price,currency
GlobeAir,GA4050,ORD,LAX,2025-12-29,18:00,22:00,254.99,USD
ACME Air,AC5001,SEA,BOS,2025-12-20,06:00,10:00,159.99,USD
SkyLine,SL5002,SEA,BOS,2025-12-20,09:00,13:00,169.99,USD
BlueJet,BJ5003,SEA,BOS,2025-12-20,12:00,16:00,189.99,USD
Nimbus,NB5004,SEA,BOS,2025-12-20,15:00,19:00,209.99,USD
GlobeAir,GA5005,SEA,BOS,2025-12-20,18:00,22:00,229.99,USD
ACME Air,AC5006,SEA,BOS,2025-12-21,06:00,10:00,164.99,USD
SkyLine,SL5007,SEA,BOS,2025-12-21,09:00,13:00,174.99,USD
BlueJet,BJ5008,SEA,BOS,2025-12-21,12:00,16:00,194.99,USD
Nimbus,NB5009,SEA,BOS,2025-12-21,15:00,19:00,214.99,USD
GlobeAir,GA5010,SEA,BOS,2025-12-21,18:00,22:00,234.99,USD
ACME Air,AC5011,SEA,BOS,2025-12-22,06:00,10:00,169.99,USD
SkyLine,SL5012,SEA,BOS,2025-12-22,09:00,13:00,179.99,USD
BlueJet,BJ5013,SEA,BOS,2025-12-22,12:00,16:00,199.99,USD
Nimbus,NB5014,SEA,BOS,2025-12-22,15:00,19:00,219.99,USD
GlobeAir,GA5015,SEA,BOS,2025-12-22,18:00,22:00,239.99,USD
ACME Air,AC5016,SEA,BOS,2025-12-23,06:00,10:00,174.99,USD
SkyLine,SL5017,SEA,BOS,2025-12-23,09:00,13:00,184.99,USD
BlueJet,BJ5018,SEA,BOS,2025-12-23,12:00,16:00,204.99,USD
Nimbus,NB5019,SEA,BOS,2025-12-23,15:00,19:00,224.99,USD
GlobeAir,GA5020,SEA,BOS,2025-12-23,18:00,22:00,244.99,USD
ACME Air,AC5021,SEA,BOS,2025-12-24,06:00,10:00,179.99,USD
SkyLine,SL5022,SEA,BOS,2025-12-24,09:00,13:00,189.99,USD
BlueJet,BJ5023,SEA,BOS,2025-12-24,12:00,16:00,209.99,USD
Nimbus,NB5024,SEA,BOS,2025-12-24,15:00,19:00,229.99,USD
GlobeAir,GA5025,SEA,BOS,2025-12-24,18:00,22:00,249.99,USD
ACME Air,AC5026,SEA,BOS,2025-12-25,06:00,10:00,184.99,USD
SkyLine,SL5027,SEA,BOS,2025-12-25,09:00,13:00,194.99,USD
BlueJet,BJ5028,SEA,BOS,2025-12-25,12:00,16:00,214.99,USD
Nimbus,NB5029,SEA,BOS,2025-12-25,15:00,19:00,234.99,USD
GlobeAir,GA5030,SEA,BOS,2025-12-25,18:00,22:00,254.99,USD
ACME Air,AC5031,SEA,BOS,2025-12-26,06:00,10:00,189.99,USD
SkyLine,SL5032,SEA,BOS,2025-12-26,09:00,13:00,199.99,USD
BlueJet,BJ5033,SEA,BOS,2025-12-26,12:00,16:00,219.99,USD
Nimbus,NB5034,SEA,BOS,2025-12-26,15:00,19:00,239.99,USD
GlobeAir,GA5035,SEA,BOS,2025-12-26,18:00,22:00,259.99,USD
ACME Air,AC5036,SEA,BOS,2025-12-27,06:00,10:00,194.99,USD
SkyLine,SL5037,SEA,BOS,2025-12-27,09:00,13:00,204.99,USD
BlueJet,BJ5038,SEA,BOS,2025-12-27,12:00,16:00,224.99,USD
Nimbus,NB5039,SEA,BOS,2025-12-27,15:00,19:00,244.99,USD
GlobeAir,GA5040,SEA,BOS,2025-12-27,18:00,22:00,264.99,USD
ACME Air,AC5041,SEA,BOS,2025-12-28,06:00,10:00,199.99,USD
SkyLine,SL5042,SEA,BOS,2025-12-28,09:00,13:00,209.99,USD
BlueJet,BJ5043,SEA,BOS,2025-12-28,12:00,16:00,229.99,USD
Nimbus,NB5044,SEA,BOS,2025-12-28,15:00,19:00,249.99,USD
GlobeAir,GA5045,SEA,BOS,2025-12-28,18:00,22:00,269.99,USD
ACME Air,AC5046,SEA,BOS,2025-12-29,06:00,10:00,204.99,USD
SkyLine,SL5047,SEA,BOS,2025-12-29,09:00,13:00,214.99,USD
BlueJet,BJ5048,SEA,BOS,2025-12-29,12:00,16:00,234.99,USD
Nimbus,NB5049,SEA,BOS,2025-12-29,15:00,19:00,254.99,USD
GlobeAir,GA5050,SEA,BOS,2025-12-29,18:00,22:00,274.99,USD
ACME Air,AC6001,BOS,SEA,2025-12-20,06:00,10:00,169.99,USD
SkyLine,SL6002,BOS,SEA,2025-12-20,09:00,13:00,179.99,USD
BlueJet,BJ6003,BOS,SEA,2025-12-20,12:00,16:00,199.99,USD
Nimbus,NB6004,BOS,SEA,2025-12-20,15:00,19:00,219.99,USD
GlobeAir,GA6005,BOS,SEA,2025-12-20,18:00,22:00,239.99,USD
ACME Air,AC6006,BOS,SEA,2025-12-21,06:00,10:00,174.99,USD
SkyLine,SL6007,BOS,SEA,2025-12-21,09:00,13:00,184.99,USD
BlueJet,BJ6008,BOS,SEA,2025-12-21,12:00,16:00,204.99,USD
Nimbus,NB6009,BOS,SEA,2025-12-21,15:00,19:00,224.99,USD
GlobeAir,GA6010,BOS,SEA,2025-12-21,18:00,22:00,244.99,USD
ACME Air,AC6011,BOS,SEA,2025-12-22,06:00,10:00,179.99,USD
SkyLine,SL6012,BOS,SEA,2025-12-22,09:00,13:00,189.99,USD
BlueJet,BJ6013,BOS,SEA,2025-12-22,12:00,16:00,209.99,USD
Nimbus,NB6014,BOS,SEA,2025-12-22,15:00,19:00,229.99,USD
GlobeAir,GA6015,BOS,SEA,2025-12-22,18:00,22:00,249.99,USD
ACME Air,AC6016,BOS,SEA,2025-12-23,06:00,10:00,184.99,USD
SkyLine,SL6017,BOS,SEA,2025-12-23,09:00,13:00,194.99,USD
BlueJet,BJ6018,BOS,SEA,2025-12-23,12:00,16:00,214.99,USD
Nimbus,NB6019,BOS,SEA,2025-12-23,15:00,19:00,234.99,USD
GlobeAir,GA6020,BOS,SEA,2025-12-23,18:00,22:00,254.99,USD
ACME Air,AC6021,BOS,SEA,2025-12-24,06:00,10:00,189.99,USD
SkyLine,SL6022,BOS,SEA,2025-12-24,09:00,13:00,199.99,USD
BlueJet,BJ6023,BOS,SEA,2025-12-24,12:00,16:00,219.99,USD
Nimbus,NB6024,BOS,SEA,2025-12-24,15:00,19:00,239.99,USD
GlobeAir,GA6025,BOS,SEA,2025-12-24,18:00,22:00,259.99,USD
ACME Air,AC6026,BOS,SEA,2025-12-25,06:00,10:00,194.99,USD
SkyLine,SL6027,BOS,SEA,2025-12-25,09:00,13:00,204.99,USD
BlueJet,BJ6028,BOS,SEA,2025-12-25,12:00,16:00,224.99,USD
Nimbus,NB6029,BOS,SEA,2025-12-25,15:00,19:00,244.99,USD
GlobeAir,GA6030,BOS,SEA,2025-12-25,18:00,22:00,264.99,USD
ACME Air,AC6031,BOS,SEA,2025-12-26,06:00,10:00,199.99,USD
SkyLine,SL6032,BOS,SEA,2025-12-26,09:00,13:00,209.99,USD
BlueJet,BJ6033,BOS,SEA,2025-12-26,12:00,16:00,229.99,USD
Nimbus,NB6034,BOS,SEA,2025-12-26,15:00,19:00,249.99,USD
GlobeAir,GA6035,BOS,SEA,2025-12-26,18:00,22:00,269.99,USD
ACME Air,AC6036,BOS,SEA,2025-12-27,06:00,10:00,204.99,USD
SkyLine,SL6037,BOS,SEA,2025-12-27,09:00,13:00,214.99,USD
BlueJet,BJ6038,BOS,SEA,2025-12-27,12:00,16:00,234.99,USD
Nimbus,NB6039,BOS,SEA,2025-12-27,15:00,19:00,254.99,USD
GlobeAir,GA6040,BOS,SEA,2025-12-27,18:00,22:00,274.99,USD
ACME Air,AC6041,BOS,SEA,2025-12-28,06:00,10:00,209.99,USD
SkyLine,SL6042,BOS,SEA,2025-12-28,09:00,13:00,219.99,USD
BlueJet,BJ6043,BOS,SEA,2025-12-28,12:00,16:00,239.99,USD
Nimbus,NB6044,BOS,SEA,2025-12-28,15:00,19:00,259.99,USD
GlobeAir,GA6045,BOS,SEA,2025-12-28,18:00,22:00,279.99,USD
ACME Air,AC6046,BOS,SEA,2025-12-29,06:00,10:00,214.99,USD
SkyLine,SL6047,BOS,SEA,2025-12-29,09:00,13:00,224.99,USD
BlueJet,BJ6048,BOS,SEA,2025-12-29,12:00,16:00,244.99,USD
Nimbus,NB6049,BOS,SEA,2025-12-29,15:00,19:00,264.99,USD
GlobeAir,GA6050,BOS,SEA,2025-12-29,18:00,22:00,284.99,USD
ACME Air,AC7001,MIA,ATL,2025-12-20,06:00,10:00,99.99,USD
SkyLine,SL7002,MIA,ATL,2025-12-20,09:00,13:00,109.99,USD
BlueJet,BJ7003,MIA,ATL,2025-12-20,12:00,16:00,119.99,USD
Nimbus,NB7004,MIA,ATL,2025-12-20,15:00,19:00,129.99,USD
GlobeAir,GA7005,MIA,ATL,2025-12-20,18:00,22:00,139.99,USD
ACME Air,AC7006,MIA,ATL,2025-12-21,06:00,10:00,104.99,USD
SkyLine,SL7007,MIA,ATL,2025-12-21,09:00,13:00,114.99,USD
BlueJet,BJ7008,MIA,ATL,2025-12-21,12:00,16:00,124.99,USD
Nimbus,NB7009,MIA,ATL,2025-12-21,15:00,19:00,134.99,USD
GlobeAir,GA7010,MIA,ATL,2025-12-21,18:00,22:00,144.99,USD
ACME Air,AC7011,MIA,ATL,2025-12-22,06:00,10:00,109.99,USD
SkyLine,SL7012,MIA,ATL,2025-12-22,09:00,13:00,119.99,USD
BlueJet,BJ7013,MIA,ATL,2025-12-22,12:00,16:00,129.99,USD
Nimbus,NB7014,MIA,ATL,2025-12-22,15:00,19:00,139.99,USD
GlobeAir,GA7015,MIA,ATL,2025-12-22,18:00,22:00,149.99,USD
ACME Air,AC7016,MIA,ATL,2025-12-23,06:00,10:00,114.99,USD
SkyLine,SL7017,MIA,ATL,2025-12-23,09:00,13:00,124.99,USD
BlueJet,BJ7018,MIA,ATL,2025-12-23,12:00,16:00,134.99,USD
Nimbus,NB7019,MIA,ATL,2025-12-23,15:00,19:00,144.99,USD
GlobeAir,GA7020,MIA,ATL,2025-12-23,18:00,22:00,154.99,USD
ACME Air,AC7021,MIA,ATL,2025-12-24,06:00,10:00,119.99,USD
SkyLine,SL7022,MIA,ATL,2025-12-24,09:00,13:00,129.99,USD
BlueJet,BJ7023,MIA,ATL,2025-12-24,12:00,16:00,139.99,USD
Nimbus,NB7024,MIA,ATL,2025-12-24,15:00,19:00,149.99,USD
GlobeAir,GA7025,MIA,ATL,2025-12-24,18:00,22:00,159.99,USD
ACME Air,AC7026,MIA,ATL,2025-12-25,06:00,10:00,124.99,USD
SkyLine,SL7027,MIA,ATL,2025-12-25,09:00,13:00,134.99,USD
BlueJet,BJ7028,MIA,ATL,2025-12-25,12:00,16:00,144.99,USD
Nimbus,NB7029,MIA,ATL,2025-12-25,15:00,19:00,154.99,USD
GlobeAir,GA7030,MIA,ATL,2025-12-25,18:00,22:00,164.99,USD
ACME Air,AC7031,MIA,ATL,2025-12-26,06:00,10:00,129.99,USD
SkyLine,SL7032,MIA,ATL,2025-12-26,09:00,13:00,139.99,USD
BlueJet,BJ7033,MIA,ATL,2025-12-26,12:00,16:00,149.99,USD
Nimbus,NB7034,MIA,ATL,2025-12-26,15:00,19:00,159.99,USD
GlobeAir,GA7035,MIA,ATL,2025-12-26,18:00,22:00,169.99,USD
ACME Air,AC7036,MIA,ATL,2025-12-27,06:00,10:00,134.99,USD
SkyLine,SL7037,MIA,ATL,2025-12-27,09:00,13:00,144.99,USD
BlueJet,BJ7038,MIA,ATL,2025-12-27,12:00,16:00,154.99,USD
Nimbus,NB7039,MIA,ATL,2025-12-27,15:00,19:00,164.99,USD
GlobeAir,GA7040,MIA,ATL,2025-12-27,18:00,22:00,174.99,USD
ACME Air,AC7041,MIA,ATL,2025-12-28,06:00,10:00,139.99,USD
SkyLine,SL7042,MIA,ATL,2025-12-28,09:00,13:00,149.99,USD
BlueJet,BJ7043,MIA,ATL,2025-12-28,12:00,16:00,159.99,USD
Nimbus,NB7044,MIA,ATL,2025-12-28,15:00,19:00,169.99,USD
GlobeAir,GA7045,MIA,ATL,2025-12-28,18:00,22:00,179.99,USD
ACME Air,AC7046,MIA,ATL,2025-12-29,06:00,10:00,144.99,USD
SkyLine,SL7047,MIA,ATL,2025-12-29,09:00,13:00,154.99,USD
BlueJet,BJ7048,MIA,ATL,2025-12-29,12:00,16:00,164.99,USD
Nimbus,NB7049,MIA,ATL,2025-12-29,15:00,19:00,174.99,USD
GlobeAir,GA7050,MIA,ATL,2025-12-29,18:00,22:00,184.99,USD
ACME Air,AC8001,ATL,MIA,2025-12-20,06:00,10:00,104.99,USD
SkyLine,SL8002,ATL,MIA,2025-12-20,09:00,13:00,114.99,USD
BlueJet,BJ8003,ATL,MIA,2025-12-20,12:00,16:00,124.99,USD
Nimbus,NB8004,ATL,MIA,2025-12-20,15:00,19:00,134.99,USD
GlobeAir,GA8005,ATL,MIA,2025-12-20,18:00,22:00,144.99,USD
ACME Air,AC8006,ATL,MIA,2025-12-21,06:00,10:00,109.99,USD
SkyLine,SL8007,ATL,MIA,2025-12-21,09:00,13:00,119.99,USD
BlueJet,BJ8008,ATL,MIA,2025-12-21,12:00,16:00,129.99,USD
Nimbus,NB8009,ATL,MIA,2025-12-21,15:00,19:00,139.99,USD
GlobeAir,GA8010,ATL,MIA,2025-12-21,18:00,22:00,149.99,USD
ACME Air,AC8011,ATL,MIA,2025-12-22,06:00,10:00,114.99,USD
SkyLine,SL8012,ATL,MIA,2025-12-22,09:00,13:00,124.99,USD
BlueJet,BJ8013,ATL,MIA,2025-12-22,12:00,16:00,134.99,USD
Nimbus,NB8014,ATL,MIA,2025-12-22,15:00,19:00,144.99,USD
GlobeAir,GA8015,ATL,MIA,2025-12-22,18:00,22:00,154.99,USD
ACME Air,AC8016,ATL,MIA,2025-12-23,06:00,10:00,119.99,USD
SkyLine,SL8017,ATL,MIA,2025-12-23,09:00,13:00,129.99,USD
BlueJet,BJ8018,ATL,MIA,2025-12-23,12:00,16:00,139.99,USD
Nimbus,NB8019,ATL,MIA,2025-12-23,15:00,19:00,149.99,USD
GlobeAir,GA8020,ATL,MIA,2025-12-23,18:00,22:00,159.99,USD
ACME Air,AC8021,ATL,MIA,2025-12-24,06:00,10:00,124.99,USD
SkyLine,SL8022,ATL,MIA,2025-12-24,09:00,13:00,134.99,USD
BlueJet,BJ8023,ATL,MIA,2025-12-24,12:00,16:00,144.99,USD
Nimbus,NB8024,ATL,MIA,2025-12-24,15:00,19:00,154.99,USD
GlobeAir,GA8025,ATL,MIA,2025-12-24,18:00,22:00,164.99,USD
ACME Air,AC8026,ATL,MIA,2025-12-25,06:00,10:00,129.99,USD
SkyLine,SL8027,ATL,MIA,2025-12-25,09:00,13:00,139.99,USD
BlueJet,BJ8028,ATL,MIA,2025-12-25,12:00,16:00,149.99,USD
Nimbus,NB8029,ATL,MIA,2025-12-25,15:00,19:00,159.99,USD
GlobeAir,GA8030,ATL,MIA,2025-12-25,18:00,22:00,169.99,USD
ACME Air,AC8031,ATL,MIA,2025-12-26,06:00,10:00,134.99,USD
SkyLine,SL8032,ATL,MIA,2025-12-26,09:00,13:00,144.99,USD
BlueJet,BJ8033,ATL,MIA,2025-12-26,12:00,16:00,154.99,USD
Nimbus,NB8034,ATL,MIA,2025-12-26,15:00,19:00,164.99,USD
GlobeAir,GA8035,ATL,MIA,2025-12-26,18:00,22:00,174.99,USD
ACME Air,AC8036,ATL,MIA,2025-12-27,06:00,10:00,139.99,USD
SkyLine,SL8037,ATL,MIA,2025-12-27,09:00,13:00,149.99,USD
BlueJet,BJ8038,ATL,MIA,2025-12-27,12:00,16:00,159.99,USD
Nimbus,NB8039,ATL,MIA,2025-12-27,15:00,19:00,169.99,USD
GlobeAir,GA8040,ATL,MIA,2025-12-27,18:00,22:00,179.99,USD
ACME Air,AC8041,ATL,MIA,2025-12-28,06:00,10:00,144.99,USD
SkyLine,SL8042,ATL,MIA,2025-12-28,09:00,13:00,154.99,USD
BlueJet,BJ8043,ATL,MIA,2025-12-28,12:00,16:00,164.99,USD
Nimbus,NB8044,ATL,MIA,2025-12-28,15:00,19:00,174.99,USD
GlobeAir,GA8045,ATL,MIA,2025-12-28,18:00,22:00,184.99,USD
ACME Air,AC8046,ATL,MIA,2025-12-29,06:00,10:00,149.99,USD
SkyLine,SL8047,ATL,MIA,2025-12-29,09:00,13:00,159.99,USD
BlueJet,BJ8048,ATL,MIA,2025-12-29,12:00,16:00,169.99,USD
Nimbus,NB8049,ATL,MIA,2025-12-29,15:00,19:00,179.99,USD
GlobeAir,GA8050,ATL,MIA,2025-12-29,18:00,22:00,189.99,USD